Name, Release, LOC, #Comments, #Revisions, #Auth, #Fix, LOC touched, LOC added, MAX LOC added, AVG LOC added, churn, MAX churn, AVG churn, Buggy
src/java/org/apache/avro/specific/SpecificResponder.java,1.0.0,41,18,3,1,0,105,96,46,32,97,46,32,YES
src/java/org/apache/avro/util/Utf8.java,1.0.0,80,18,2,1,0,160,160,80,80,160,80,80,NO
src/java/org/apache/avro/io/BlockingValueWriter.java,1.0.0,622,118,1,1,0,622,622,622,622,622,622,622,NO
src/java/org/apache/avro/io/ValueReader.java,1.0.0,471,244,4,1,0,811,696,426,174,581,337,145,NO
src/java/org/apache/avro/io/ValueWriter.java,1.0.0,420,214,3,1,0,617,564,382,188,511,329,170,NO
src/java/org/apache/avro/ipc/ByteBufferValueReader.java,1.0.0,1,0,3,1,0,123,82,41,27,123,41,41,NO
src/java/org/apache/avro/ipc/ByteBufferValueWriter.java,1.0.0,1,0,3,1,0,132,88,44,29,132,44,44,NO
JsonSchema.java,1.0.0,136,0,2,1,0,272,272,136,136,272,136,136,NO
JsonSchemaWalker.java,1.0.0,112,0,2,1,0,224,224,112,112,224,112,112,NO
src/java/org/apache/avro/AvroRuntimeException.java,1.1.0,24,17,1,1,0,1,1,1,1,1,1,1,NO
src/java/org/apache/avro/AvroTypeException.java,1.1.0,25,18,1,1,0,1,1,1,1,1,1,1,NO
src/java/org/apache/avro/Protocol.java,1.1.0,341,48,2,1,0,7,5,3,2,3,2,1,NO
src/java/org/apache/avro/Schema.java,1.1.0,728,66,4,1,0,70,37,23,9,44,22,11,YES
src/java/org/apache/avro/SchemaParseException.java,1.1.0,24,17,1,1,0,1,1,1,1,1,1,1,NO
src/java/org/apache/avro/file/DataFileReader.java,1.1.0,218,29,1,1,0,3,2,2,2,1,1,1,YES
src/java/org/apache/avro/file/DataFileWriter.java,1.1.0,206,36,2,1,1,16,15,13,7,14,13,7,YES
src/java/org/apache/avro/file/SeekableFileInput.java,1.1.0,34,18,1,1,0,5,4,4,4,3,3,3,NO
src/java/org/apache/avro/file/SeekableInput.java,1.1.0,36,22,2,1,1,11,6,3,3,1,1,0,NO
src/java/org/apache/avro/generic/GenericArray.java,1.1.0,36,24,2,1,0,3,2,1,1,1,1,0,NO
src/java/org/apache/avro/generic/GenericContainer.java,1.1.0,26,19,1,1,0,27,27,27,27,27,27,27,NO
src/java/org/apache/avro/generic/GenericData.java,1.1.0,428,41,3,1,0,178,164,155,54,150,145,50,YES
src/java/org/apache/avro/generic/GenericDatumReader.java,1.1.0,462,84,4,1,1,21,11,5,2,1,1,0,YES
src/java/org/apache/avro/generic/GenericDatumWriter.java,1.1.0,191,45,3,1,1,101,20,11,6,75,68,25,YES
src/java/org/apache/avro/generic/GenericFixed.java,1.1.0,24,19,1,1,0,2,1,1,1,0,0,0,NO
src/java/org/apache/avro/generic/GenericRecord.java,1.1.0,24,18,2,1,0,10,3,2,1,6,5,3,NO
src/java/org/apache/avro/generic/GenericRequestor.java,1.1.0,57,18,1,1,0,1,1,1,1,1,1,1,NO
src/java/org/apache/avro/generic/GenericResponder.java,1.1.0,54,21,1,1,0,1,1,1,1,1,1,1,NO
src/java/org/apache/avro/io/BinaryData.java,1.1.0,192,25,3,1,0,370,281,190,93,192,190,64,NO
src/java/org/apache/avro/io/BinaryDecoder.java,1.1.0,300,57,2,1,0,5,3,2,1,1,1,0,NO
src/java/org/apache/avro/io/BinaryEncoder.java,1.1.0,250,37,1,1,0,5,3,3,3,1,1,1,NO
src/java/org/apache/avro/io/BlockingBinaryEncoder.java,1.1.0,627,118,2,1,1,10,8,5,4,6,5,3,NO
src/java/org/apache/avro/io/DatumReader.java,1.1.0,37,24,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/DatumWriter.java,1.1.0,35,23,1,1,0,1,1,1,1,1,1,1,NO
src/java/org/apache/avro/io/Decoder.java,1.1.0,279,219,3,1,0,17,5,3,1,7,7,2,NO
src/java/org/apache/avro/io/Encoder.java,1.1.0,274,212,1,1,0,2,1,1,1,0,0,0,NO
src/java/org/apache/avro/io/JsonDecoder.java,1.1.0,398,18,3,1,0,433,416,397,138,401,397,133,NO
src/java/org/apache/avro/io/JsonEncoder.java,1.1.0,240,21,3,1,0,255,248,239,82,243,239,81,YES
src/java/org/apache/avro/io/ParsingDecoder.java,1.1.0,74,19,2,1,0,75,75,74,37,75,74,37,NO
src/java/org/apache/avro/io/ParsingEncoder.java,1.1.0,69,24,3,1,0,70,70,52,23,70,52,23,NO
src/java/org/apache/avro/io/ResolvingDecoder.java,1.1.0,203,78,2,1,0,163,72,71,36,21,20,10,NO
src/java/org/apache/avro/io/ValidatingDecoder.java,1.1.0,229,21,2,1,0,280,76,75,38,130,129,65,NO
src/java/org/apache/avro/io/ValidatingEncoder.java,1.1.0,202,25,2,1,0,186,82,81,41,24,23,12,NO
src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,1.1.0,102,35,2,1,0,103,103,102,51,103,102,51,YES
src/java/org/apache/avro/io/parsing/Parser.java,1.1.0,144,59,2,1,0,149,147,144,73,145,144,72,YES
src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,1.1.0,337,66,3,1,0,340,339,337,113,338,337,112,NO
src/java/org/apache/avro/io/parsing/SkipParser.java,1.1.0,94,43,2,1,0,99,97,94,48,95,94,47,NO
src/java/org/apache/avro/io/parsing/Symbol.java,1.1.0,382,80,2,1,0,383,383,382,191,383,382,191,YES
src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,1.1.0,138,43,3,1,0,141,140,138,46,139,138,46,NO
src/java/org/apache/avro/ipc/AvroRemoteException.java,1.1.0,40,18,1,1,0,1,1,1,1,1,1,1,NO
src/java/org/apache/avro/ipc/ByteBufferInputStream.java,1.1.0,86,28,1,1,0,3,2,2,2,1,1,1,NO
