Iteration,%TrainingInstances,Classifier,Feature Selection,Sampling,Cost Sensitive,Precision,Recall,AUC,Kappa,TP,FP,TN,FN,Cost
2,41.27906976744186,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.009900990099009901,1.0,0.8175,0.0,2.0,200.0,0.0,0.0,200.0
3,66.45367412140575,RandomForest,none,none,none,0.25,0.3333333333333333,0.5604575163398693,0.2616033755274253,1.0,3.0,99.0,2.0,23.0
3,66.45367412140575,IBk,none,none,none,0.09090909090909091,0.3333333333333333,0.6405228758169934,0.10256410256410207,1.0,10.0,92.0,2.0,30.0
3,66.45367412140575,NaiveBayes,none,none,none,NaN,0.0,0.8562091503267973,0.0,0.0,0.0,102.0,3.0,30.0
3,66.45367412140575,RandomForest,BestFirst(backward),none,none,0.125,0.3333333333333333,0.6601307189542484,0.14634146341463372,1.0,7.0,95.0,2.0,27.0
3,66.45367412140575,IBk,BestFirst(backward),none,none,0.0,0.0,0.47549019607843135,-0.04790419161676705,0.0,12.0,90.0,3.0,42.0
3,66.45367412140575,NaiveBayes,BestFirst(backward),none,none,0.0,0.0,0.9313725490196079,-0.029411764705882706,0.0,3.0,99.0,3.0,33.0
3,66.45367412140575,RandomForest,none,SMOTE,none,0.3333333333333333,0.3333333333333333,0.5049019607843137,0.31372549019607887,1.0,2.0,100.0,2.0,22.0
3,66.45367412140575,IBk,none,SMOTE,none,0.09090909090909091,0.3333333333333333,0.6405228758169934,0.10256410256410207,1.0,10.0,92.0,2.0,30.0
3,66.45367412140575,NaiveBayes,none,SMOTE,none,NaN,0.0,0.4738562091503268,0.0,0.0,0.0,102.0,3.0,30.0
3,66.45367412140575,RandomForest,none,none,SensitiveThreshold,0.038461538461538464,0.3333333333333333,0.5637254901960784,0.01869158878504695,1.0,25.0,77.0,2.0,45.0
3,66.45367412140575,IBk,none,none,SensitiveThreshold,0.09090909090909091,0.3333333333333333,0.6405228758169934,0.10256410256410207,1.0,10.0,92.0,2.0,30.0
3,66.45367412140575,NaiveBayes,none,none,SensitiveThreshold,NaN,0.0,0.8562091503267973,0.0,0.0,0.0,102.0,3.0,30.0
3,66.45367412140575,RandomForest,BestFirst(backward),SMOTE,none,0.1,0.3333333333333333,0.47549019607843135,0.11494252873563233,1.0,9.0,93.0,2.0,29.0
3,66.45367412140575,IBk,BestFirst(backward),SMOTE,none,0.0,0.0,0.47549019607843135,-0.04868913857677937,0.0,13.0,89.0,3.0,43.0
3,66.45367412140575,NaiveBayes,BestFirst(backward),SMOTE,none,0.0,0.0,0.934640522875817,-0.033755274261603206,0.0,4.0,98.0,3.0,34.0
3,66.45367412140575,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.030303030303030304,0.3333333333333333,0.5294117647058824,0.0033500837520939564,1.0,32.0,70.0,2.0,52.0
3,66.45367412140575,IBk,BestFirst(backward),none,SensitiveThreshold,0.0,0.0,0.47549019607843135,-0.04790419161676705,0.0,12.0,90.0,3.0,42.0
3,66.45367412140575,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.125,0.3333333333333333,0.9313725490196079,0.14634146341463372,1.0,7.0,95.0,2.0,27.0
4,79.6116504854369,RandomForest,none,none,none,1.0,0.07142857142857142,0.7115384615384616,0.11764705882352917,1.0,0.0,91.0,13.0,130.0
4,79.6116504854369,IBk,none,none,none,0.5,0.14285714285714285,0.6373626373626373,0.17322834645669288,2.0,2.0,89.0,12.0,122.0
4,79.6116504854369,NaiveBayes,none,none,none,NaN,0.0,0.542778649921507,0.0,0.0,0.0,91.0,14.0,140.0
4,79.6116504854369,RandomForest,BestFirst(backward),none,none,0.25,0.07142857142857142,0.6126373626373627,0.05511811023622015,1.0,3.0,88.0,13.0,133.0
4,79.6116504854369,IBk,BestFirst(backward),none,none,0.16666666666666666,0.07142857142857142,0.5627943485086342,0.021739130434782664,1.0,5.0,86.0,13.0,135.0
4,79.6116504854369,NaiveBayes,BestFirst(backward),none,none,0.0,0.0,0.7409733124018838,-0.034482758620689995,0.0,2.0,89.0,14.0,142.0
4,79.6116504854369,RandomForest,none,SMOTE,none,NaN,0.0,0.6675824175824175,0.0,0.0,0.0,91.0,14.0,140.0
4,79.6116504854369,IBk,none,SMOTE,none,0.5,0.14285714285714285,0.6373626373626373,0.17322834645669288,2.0,2.0,89.0,12.0,122.0
