Iteration,%TrainingInstances,Classifier,Feature Selection,Balancing,Cost Sensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost
2,55.583126550868485,IBk,BestFirst(backward),none,SensitiveThreshold,0.2125,0.3617021276595745,0.5950947526852295,0.12259526695830936,0.2677165354330709,17.0,63.0,248.0,30.0,363.0
2,55.583126550868485,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.4025974025974026,0.6595744680851063,0.7934596702469727,0.40259460623351473,0.5,31.0,46.0,265.0,16.0,206.0
3,67.27430555555556,RandomForest,none,none,none,0.2911392405063291,0.575,0.7905415430267062,0.2859663233271933,0.38655462184873945,23.0,56.0,281.0,17.0,226.0
3,67.27430555555556,IBk,none,none,none,0.1791044776119403,0.3,0.6853486646884273,0.10543468938505976,0.22429906542056072,12.0,55.0,282.0,28.0,335.0
3,67.27430555555556,NaiveBayes,none,none,none,0.375,0.15,0.833679525222552,0.16357402178297722,0.21428571428571425,6.0,10.0,327.0,34.0,350.0
3,67.27430555555556,RandomForest,BestFirst(backward),none,none,0.25806451612903225,0.6,0.7930637982195846,0.2495491908854594,0.3609022556390977,24.0,69.0,268.0,16.0,229.0
3,67.27430555555556,IBk,BestFirst(backward),none,none,0.2236842105263158,0.425,0.7178041543026706,0.17895463720386665,0.2931034482758621,17.0,59.0,278.0,23.0,289.0
3,67.27430555555556,NaiveBayes,BestFirst(backward),none,none,0.36,0.225,0.7802299703264095,0.21266385247722686,0.27692307692307694,9.0,16.0,321.0,31.0,326.0
3,67.27430555555556,RandomForest,none,SMOTE,none,0.31868131868131866,0.725,0.791320474777448,0.34640321086755194,0.44274809160305345,29.0,62.0,275.0,11.0,172.0
3,67.27430555555556,IBk,none,SMOTE,none,0.18292682926829268,0.375,0.6896142433234421,0.12045443018714826,0.24590163934426235,15.0,67.0,270.0,25.0,317.0
3,67.27430555555556,NaiveBayes,none,SMOTE,none,0.36,0.225,0.8524851632047478,0.21266385247722686,0.27692307692307694,9.0,16.0,321.0,31.0,326.0
3,67.27430555555556,RandomForest,none,none,SensitiveThreshold,0.21341463414634146,0.875,0.807566765578635,0.20803285884492378,0.3431372549019608,35.0,129.0,208.0,5.0,179.0
3,67.27430555555556,IBk,none,none,SensitiveThreshold,0.1791044776119403,0.3,0.6853486646884273,0.10543468938505976,0.22429906542056072,12.0,55.0,282.0,28.0,335.0
3,67.27430555555556,NaiveBayes,none,none,SensitiveThreshold,0.36363636363636365,0.2,0.833679525222552,0.197649671509207,0.25806451612903225,8.0,14.0,323.0,32.0,334.0
3,67.27430555555556,RandomForest,BestFirst(backward),SMOTE,none,0.24210526315789474,0.575,0.7716246290801186,0.22501443584709543,0.34074074074074073,23.0,72.0,265.0,17.0,242.0
3,67.27430555555556,IBk,BestFirst(backward),SMOTE,none,0.1875,0.375,0.6914317507418397,0.1264160659114314,0.25,15.0,65.0,272.0,25.0,315.0
3,67.27430555555556,NaiveBayes,BestFirst(backward),SMOTE,none,0.42105263157894735,0.4,0.8589391691394659,0.34225896988545856,0.41025641025641024,16.0,22.0,315.0,24.0,262.0
3,67.27430555555556,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.18902439024390244,0.775,0.802040059347181,0.16075123847745643,0.303921568627451,31.0,133.0,204.0,9.0,223.0
3,67.27430555555556,IBk,BestFirst(backward),none,SensitiveThreshold,0.2236842105263158,0.425,0.7178041543026706,0.17895463720386665,0.2931034482758621,17.0,59.0,278.0,23.0,289.0
3,67.27430555555556,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.29411764705882354,0.375,0.7802299703264095,0.23919012803123024,0.3296703296703296,15.0,36.0,301.0,25.0,286.0
4,73.38082901554404,RandomForest,none,none,none,0.37209302325581395,0.35555555555555557,0.7585610200364299,0.28738621586475976,0.36363636363636365,16.0,27.0,339.0,29.0,317.0
4,73.38082901554404,IBk,none,none,none,0.2727272727272727,0.4,0.7122343655130541,0.22317985937854387,0.3243243243243243,18.0,48.0,318.0,27.0,318.0
4,73.38082901554404,NaiveBayes,none,none,none,0.6666666666666666,0.2222222222222222,0.8233758348512447,0.294723294723295,0.3333333333333333,10.0,5.0,361.0,35.0,355.0
4,73.38082901554404,RandomForest,BestFirst(backward),none,none,0.47368421052631576,0.4,0.7919550698239223,0.3706382562799338,0.43373493975903615,18.0,20.0,346.0,27.0,290.0
4,73.38082901554404,IBk,BestFirst(backward),none,none,0.29508196721311475,0.4,0.720461445051609,0.24440592499212097,0.33962264150943394,18.0,43.0,323.0,27.0,313.0
4,73.38082901554404,NaiveBayes,BestFirst(backward),none,none,0.48148148148148145,0.28888888888888886,0.8049787492410443,0.3039540534570356,0.36111111111111105,13.0,14.0,352.0,32.0,334.0
4,73.38082901554404,RandomForest,none,SMOTE,none,0.3275862068965517,0.4222222222222222,0.756314511232544,0.28017136852315877,0.36893203883495146,19.0,39.0,327.0,26.0,299.0
4,73.38082901554404,IBk,none,SMOTE,none,0.21951219512195122,0.4,0.6892531876138434,0.16547292322109944,0.2834645669291339,18.0,64.0,302.0,27.0,334.0
4,73.38082901554404,NaiveBayes,none,SMOTE,none,0.6,0.26666666666666666,0.8231329690346084,0.3236604455147504,0.36923076923076925,12.0,8.0,358.0,33.0,338.0
4,73.38082901554404,RandomForest,none,none,SensitiveThreshold,0.23809523809523808,0.5555555555555556,0.7432604735883425,0.21264367816091947,0.33333333333333326,25.0,80.0,286.0,20.0,280.0
4,73.38082901554404,IBk,none,none,SensitiveThreshold,0.26865671641791045,0.4,0.7122343655130541,0.2191390430478475,0.3214285714285714,18.0,49.0,317.0,27.0,319.0
4,73.38082901554404,NaiveBayes,none,none,SensitiveThreshold,0.6,0.26666666666666666,0.8233758348512447,0.3236604455147504,0.36923076923076925,12.0,8.0,358.0,33.0,338.0
4,73.38082901554404,RandomForest,BestFirst(backward),SMOTE,none,0.36666666666666664,0.4888888888888889,0.7618700667880995,0.33595550258243934,0.419047619047619,22.0,38.0,328.0,23.0,268.0
4,73.38082901554404,IBk,BestFirst(backward),SMOTE,none,0.2222222222222222,0.4,0.691378263509411,0.16868932038834952,0.2857142857142857,18.0,63.0,303.0,27.0,333.0
4,73.38082901554404,NaiveBayes,BestFirst(backward),SMOTE,none,0.45714285714285713,0.35555555555555557,0.8225865209471767,0.33642785065590325,0.4,16.0,19.0,347.0,29.0,309.0
4,73.38082901554404,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.2708333333333333,0.5777777777777777,0.7693685488767456,0.2581979679990268,0.36879432624113473,26.0,70.0,296.0,19.0,260.0
4,73.38082901554404,IBk,BestFirst(backward),none,SensitiveThreshold,0.2903225806451613,0.4,0.720461445051609,0.24001875146495807,0.3364485981308411,18.0,44.0,322.0,27.0,314.0
4,73.38082901554404,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.325,0.5777777777777777,0.8049787492410443,0.32081494057724946,0.41600000000000004,26.0,54.0,312.0,19.0,244.0
