Name, Release, LOC, #Comments, #Revisions, #Auth, #Fix, LOC touched, LOC added, MAX LOC added, AVG LOC added, churn, MAX churn, AVG churn, Buggy
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,1,393,53,11,3,0,585,489,209,44,399,209,36,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,1,132,55,3,3,0,146,139,75,46,132,75,44,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,1,533,105,8,3,0,579,556,521,69,535,521,66,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,1,603,116,9,3,0,763,683,573,75,607,573,67,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,1,148,15,1,1,0,148,148,148,148,148,148,148,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,1,174,60,3,2,0,194,184,173,61,174,173,58,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,1,148,53,3,2,0,168,158,147,52,148,147,49,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,1,92,44,6,3,0,1576,834,763,139,1442,763,240,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,1,234,37,6,3,0,642,438,209,73,234,209,39,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,1,54,25,3,3,0,64,59,54,19,54,54,18,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,1,38,20,2,2,0,48,43,38,21,38,38,19,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,1,98,42,2,2,0,106,102,98,51,98,98,49,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,1,39,17,3,2,0,59,49,38,16,39,38,13,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,1,69,34,3,3,0,127,98,94,32,119,94,39,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,1,94,46,1,1,0,94,94,94,94,94,94,94,YES
hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,1,72,36,1,1,0,72,72,72,72,72,72,72,NO
