ID,Size,Predicted %,Actual value
0,28,0.04692002448358934,NO
1,28,0.04692002448358934,NO
2,387,0.9889442502167206,NO
3,1087,2.4778916104428288E-42,NO
4,25,0.044575156239100584,NO
5,50,0.09421635750795813,NO
6,76,0.05015825376436,NO
7,38,0.032949334522934234,NO
8,168,0.6118830398173463,NO
9,267,0.9899683795561371,NO
10,374,0.9986923271403177,NO
11,145,0.7953676552852433,NO
12,85,0.1016692975715008,NO
13,64,0.38501911853459686,NO
14,36,0.05212326204114565,NO
15,36,0.05212326204114565,NO
16,36,0.05717466081248111,NO
17,26,0.044575156239100584,NO
18,491,6.120381724317303E-55,NO
19,354,1.7694403205747578E-53,NO
20,196,0.41743001247104866,NO
21,24,0.04269411491294684,NO
22,27,0.041091933593302564,NO
23,55,0.0710163530542749,NO
24,54,0.06915004007860907,NO
25,26,0.04457515623910058,NO
26,187,0.50544264560543,NO
27,983,4.020037027945521E-47,NO
28,252,0.6032763988486352,NO
29,620,0.9127954336582151,NO
30,37,0.05717466081248111,NO
31,35,0.05212326204114565,NO
32,286,6.904020626083277E-70,NO
33,232,2.4923444845582754E-6,NO
34,203,0.20141093143138206,NO
35,270,9.795565493754776E-72,NO
36,425,0.9998374649859433,NO
37,244,0.9686809949307298,NO
38,74,0.08840420037099457,NO
39,69,0.09101621469726481,NO
40,228,0.9999995467132687,NO
41,231,0.9564192917595037,NO
42,202,0.9122222480296375,NO
43,99,0.6025910883248345,NO
44,191,0.8728194079147961,NO
45,447,0.9999999814606149,YES
46,95,0.5030670962446437,NO
47,549,0.9999999860091932,NO
48,136,0.7080781144811849,NO
49,40,0.05393448945323351,NO
50,86,0.11096024124889486,NO
51,90,0.11274646213095599,NO
52,79,0.09510095068009598,NO
53,85,0.1046529404078149,NO
54,59,0.07101322029592873,NO
55,112,0.16401611005285027,NO
56,52,0.06637236764441576,NO
57,157,0.08097214290583869,NO
58,74,0.06740094648231454,NO
59,230,0.6365580959077747,NO
60,211,0.5807546036493147,NO
61,55,0.0710163530542749,NO
62,29,0.04692002448358934,NO
63,111,0.16401611005285027,NO
64,98,0.12486386886333538,NO
65,43,0.06005763194723137,NO
66,54,0.06915004007860907,NO
67,205,0.1478223950580325,NO
68,121,0.1572542420618373,NO
69,107,0.13210386178088004,NO
70,74,0.09661329788346579,NO
71,76,0.053930481016706756,NO
72,412,0.997251941825188,YES
73,146,0.15085477915752946,NO
74,125,0.15121114691344326,NO
75,75,0.09061813065624583,NO
76,47,0.06173743387573783,NO
77,34,0.05065550962984766,NO
78,39,0.059150465247878765,NO
79,36,0.05212326204114565,NO
80,79,0.09529839870723275,NO
81,28,0.04692002448358934,NO
82,422,0.9990552802531385,NO
83,211,0.8337635985454563,NO
84,88,0.10834316980083701,NO
85,57,0.07101322029592873,NO
86,43,0.05518434333099142,NO
87,27,0.04692002448358934,NO
88,25,0.041091933593302564,NO
89,53,0.05751446359233629,NO
90,105,0.08170932634300866,NO
91,107,0.08849111600750098,NO
92,85,0.1046529404078149,NO
93,54,0.06915004007860907,NO
94,78,0.09394351284039908,NO
95,98,0.0688652993114373,NO
96,78,0.09510095068009598,NO
97,77,0.09061813065624583,NO
98,97,0.08586198430509948,NO
99,176,0.34943557718586943,NO
100,123,0.17148848475760714,NO
101,51,0.060771884503363675,NO
102,71,0.08001520432003534,NO
103,92,0.10834316980083708,NO
104,28,0.02921842890523177,NO
105,28,0.02921842890523177,NO
106,387,0.06823084670986337,NO
107,913,0.9999910703130085,NO
108,25,0.007545382320612731,NO
109,37,0.030084722111285572,NO
110,148,0.14902824909866247,NO
111,176,0.20638401205558246,NO
