ID,Size,Predicted %,Actual value
0,25,0.2110331604489642,NO
1,25,0.25444371868020604,NO
2,354,0.2671438655413676,YES
3,774,0.9060278315266731,YES
4,25,0.2110331604489642,NO
5,38,0.12672524151907308,NO
6,235,0.2059184542210443,NO
7,199,0.2141812019699559,NO
8,34,0.25444371868020604,NO
9,36,0.27035927190781095,NO
10,36,0.27035927190781095,NO
11,26,0.25444371868020604,NO
12,441,0.45260162349063615,YES
13,465,0.2762231140605762,YES
14,191,0.2804515080576279,YES
15,24,0.25444371868020604,NO
16,24,0.25444371868020604,NO
17,52,0.20556226516127366,NO
18,54,0.24820147035964157,NO
19,192,0.28572307454801094,NO
20,300,0.29752467900546614,NO
21,250,0.3261803990624749,NO
22,618,0.16389645815785348,NO
23,37,0.27035927190781095,NO
24,35,0.2740697018386485,NO
25,279,5.599977239784167E-8,NO
26,274,2.216326379707617E-7,NO
27,398,0.4574649958025329,NO
28,238,0.24047121482209458,NO
29,74,0.24630933916469172,NO
30,69,0.2655313538473003,NO
31,203,0.153507391065444,NO
32,229,0.2793576167596887,NO
33,202,0.28572307454801094,NO
34,101,0.2254639294190203,NO
35,165,0.10862015346544536,NO
36,337,0.29109911456636356,NO
37,94,0.2645384325362928,NO
38,381,0.1740300526606091,NO
39,138,0.2686203413191712,NO
40,40,0.2509071546743947,NO
41,86,0.264385253664278,NO
42,90,0.264385253664278,NO
43,78,0.08275766354928972,NO
44,84,0.08291871621548268,NO
45,59,0.0874770470882738,NO
46,111,0.10639603187441836,NO
47,149,0.12162948652667774,NO
48,74,0.17911115877285116,NO
49,230,0.2318477931697926,NO
50,208,0.21642211901360156,NO
51,55,0.10518798021416004,NO
52,29,0.15208747025213026,NO
53,110,0.20312728681366513,NO
54,96,0.1805801536449999,NO
55,42,0.2509071546743947,NO
56,36,0.27035927190781095,NO
57,356,0.18958265235748745,YES
58,100,0.17907301448288465,YES
59,73,0.19481555567871686,YES
60,111,0.20312728681366513,NO
61,99,0.16424929538201516,YES
62,79,0.17882006839042236,NO
63,28,0.2110331604489642,NO
64,309,0.19832910859877412,YES
65,94,0.14564772311774696,YES
66,45,0.20793169120010938,YES
67,39,0.20793169120010938,NO
68,40,0.2509071546743947,YES
69,28,0.25444371868020604,NO
70,27,0.25444371868020604,NO
71,71,0.24630933916469172,YES
72,80,0.20295341208313883,NO
73,40,0.20793169120010938,YES
74,87,0.2452185056614992,NO
