ID,Size,Predicted %,Actual value
113,359,0.010195264128992684,NO
114,78,0.006584973447874773,NO
115,180,0.009737349406083005,NO
116,57,0.007396787271780073,NO
117,50,0.0060940882833802525,NO
118,243,0.006301031674734383,NO
119,254,0.013179839755082119,NO
120,306,0.014516349494443144,NO
121,139,0.008523549875711278,NO
122,375,0.024844392694856127,NO
123,75,0.006794486673467395,NO
124,222,0.011052291989227874,NO
125,61,0.006711258562248076,NO
126,98,0.006204577727800154,NO
127,28,0.005726857882466695,NO
128,55,0.005834468030129451,NO
129,194,0.010453109856677495,NO
130,28,0.006009366485282861,NO
131,50,0.005807620062987393,NO
132,55,0.006640832655139817,NO
133,124,0.009785072990296965,NO
134,87,0.006101352991223051,NO
135,65,0.006937568417408816,NO
136,144,0.008151641393094865,NO
137,134,0.2140600625093741,NO
138,117,0.006768529372222269,NO
139,28,0.006009366485282861,NO
140,57,0.00615328002281887,NO
141,60,0.005864045759697097,NO
142,62,0.006187213032852975,NO
143,89,0.0064022166586163365,NO
144,60,0.005864045759697097,NO
145,68,0.00593155424844107,NO
146,522,0.08624500173265094,NO
147,43,0.005783465693524906,NO
148,247,0.01058767881473802,NO
149,35,0.005743111610566066,NO
150,42,0.0060687497418485375,NO
151,57,0.005864045759697097,NO
152,117,0.010677798719120224,NO
153,61,0.00589639321533738,NO
154,92,0.00910527655001995,NO
155,93,0.006454697805027111,NO
156,80,0.006010512487231606,NO
157,101,0.006261011145763892,NO
158,59,0.005864045759697097,NO
159,84,0.006054417760939277,NO
160,82,0.006352981800088208,NO
161,172,0.014506274236617718,NO
162,143,0.00866630173355275,NO
163,78,0.007581245455527332,NO
164,66,0.0074818082996789,NO
165,66,0.0074818082996789,NO
166,85,0.016429015772780636,NO
167,54,0.005834468030129451,NO
168,77,0.006306925145649519,NO
169,137,0.006754064932873091,NO
170,130,0.007001263809487447,NO
171,79,0.006306925145649519,NO
172,76,0.006306925145649519,NO
173,81,0.006054417760939277,NO
174,98,0.006797459833376011,NO
175,115,0.006450563083388598,NO
176,180,0.008420090596320396,NO
177,118,0.006768529372222269,NO
178,64,0.006187213032852975,NO
179,95,0.006204577727800154,NO
180,88,0.006101352991223051,NO
181,51,0.007325721733982146,NO
182,120,0.008075465711013984,NO
