ID,Size,Predicted %,Actual value
0,40,0.005761972475727366,YES
1,28,0.005726857882466695,NO
2,28,0.005726857882466695,NO
3,449,0.042942666843166145,YES
4,1470,1.0,NO
5,25,0.005713189603795979,NO
6,39,0.005761972475727366,NO
7,50,0.007028536925635237,NO
8,82,0.0071232967262796435,NO
9,41,0.006046202764330645,NO
10,245,0.012746435077125584,NO
11,227,0.010882875556402865,NO
12,363,0.03503010836486264,NO
13,407,0.055781556063263335,NO
14,145,0.008151641393094865,NO
15,49,0.0068332276000475445,NO
16,85,0.006352981800088208,NO
17,64,0.00589639321533738,NO
18,36,0.005743111610566066,NO
19,37,0.006046202764330645,NO
20,83,0.008057775627371382,NO
21,32,0.006026417157624798,NO
22,26,0.005713189603795979,NO
23,686,0.5407203593200091,YES
24,398,0.022787547777011252,NO
25,206,0.010802720228059311,YES
26,24,0.005713189603795979,NO
27,24,0.005713189603795979,NO
28,27,0.006009366485282861,NO
29,30,0.006274379390927145,NO
30,428,0.03856024810328991,NO
31,972,0.0010662902809969658,NO
32,123,0.008075465711013984,NO
33,562,0.023893403187587654,NO
34,205,0.010449300156978331,NO
35,37,0.006312829831864358,NO
36,35,0.006292177237568396,NO
37,276,3.4715098092594793E-6,NO
38,316,2.247479316271118E-5,NO
39,204,0.009187873158341272,NO
40,133,0.008597303727046158,NO
41,285,2.7286072194786486E-6,NO
42,336,1.0714830605948005E-6,NO
43,464,0.05248803942177493,NO
44,294,0.015914905945413043,NO
45,76,0.006010512487231606,NO
46,69,0.006498518031286559,NO
47,266,0.005380751519468722,NO
48,247,0.01186532992576502,NO
49,217,0.010998799023853393,NO
50,99,0.007684437534396351,NO
51,191,0.008076346737981117,NO
52,476,0.04247490364259753,NO
53,95,0.007995561743570308,NO
54,550,0.023400468332344496,NO
55,136,0.008702272416676485,NO
56,33,0.006026417157624798,NO
57,483,0.14403171998223666,YES
58,140,0.007492836858828845,NO
59,111,0.006698619987423517,NO
60,34,0.006026417157624798,NO
61,39,0.006312829831864358,NO
62,36,0.006026417157624798,NO
63,210,0.03638673208727286,YES
64,111,0.010331817850905351,NO
65,57,0.005864045759697097,NO
66,43,0.005783465693524906,NO
67,27,0.005726857882466695,NO
68,25,0.005713189603795979,NO
69,53,0.005834468030129451,NO
70,88,0.006944345351782384,YES
71,107,0.006924669541131187,NO
72,132,0.008073685976129678,YES
73,169,0.00900806678895825,NO
74,80,0.006306925145649519,NO
75,29,0.005726857882466695,NO
76,430,0.03963053570626897,NO
77,162,0.7001862061745551,NO
78,39,0.00961702954279407,NO
79,79,0.006010512487231606,NO
80,85,0.006054417760939277,NO
81,110,0.00726566406919826,NO
82,111,0.00638391673438281,NO
83,53,0.006122252405407692,NO
84,52,0.005834468030129451,NO
85,154,0.01610552489085469,NO
86,403,0.9982232320253845,NO
87,183,0.009983966087158928,NO
88,215,0.00651171663407204,NO
89,76,0.007617347642261453,NO
90,554,0.9999999049947809,YES
91,257,0.018753106170278287,NO
92,55,0.005834468030129451,NO
93,102,0.0065696956724242105,NO
94,403,0.03031800990866367,NO
95,35,0.006026417157624798,NO
96,145,0.007591158583248033,YES
97,119,0.006768529372222269,NO
98,108,0.03006966145306948,NO
99,91,0.02227747479789129,YES
100,69,0.00593155424844107,NO
101,80,0.016788918804445448,NO
102,63,0.00589639321533738,NO
103,160,0.3866552670069642,YES
104,98,0.006204577727800154,YES
105,54,0.006122252405407692,NO
106,267,0.012744335691777102,NO
107,55,0.006122252405407692,NO
108,46,0.0060687497418485375,NO
109,226,0.011663813935181847,NO
110,54,0.006640832655139817,NO
111,270,0.01449383882001024,NO
112,74,0.006794486673467395,NO
